"P̩riode";"indice";"statut"
"2023-11";"139.42";"P"
"2023-10";"146.88";"SD"
"2023-09";"137.88";"SD"
"2023-08";"142.99";"SD"
"2023-07";"118.26";"SD"
"2023-06";"159.82";"SD"
"2023-05";"138.55";"SD"
"2023-04";"132.7";"SD"
"2023-03";"150.41";"SD"
"2023-02";"129.9";"SD"
"2023-01";"141.43";"SD"
"2022-12";"183.11";"SD"
"2022-11";"137.98";"SD"
"2022-10";"139.19";"SD"
"2022-09";"145.86";"SD"
"2022-08";"143.31";"SD"
"2022-07";"122.43";"SD"
"2022-06";"154.43";"SD"
"2022-05";"145.66";"SD"
"2022-04";"136.12";"SD"
"2022-03";"147.55";"SD"
"2022-02";"130.78";"SD"
"2022-01";"133.95";"SD"
"2021-12";"178.65";"SD"
"2021-11";"128.85";"SD"
"2021-10";"135.37";"A"
"2021-09";"135.41";"A"
"2021-08";"133.0";"A"
"2021-07";"123.09";"A"
"2021-06";"151.35";"A"
"2021-05";"129.98";"A"
"2021-04";"130.48";"A"
"2021-03";"138.72";"A"
"2021-02";"118.84";"A"
"2021-01";"121.69";"A"
"2020-12";"169.84";"A"
"2020-11";"122.49";"A"
"2020-10";"131.5";"A"
"2020-09";"122.82";"A"
"2020-08";"115.61";"A"
"2020-07";"102.71";"A"
"2020-06";"128.7";"A"
"2020-05";"103.82";"A"
"2020-04";"79.31";"A"
"2020-03";"98.48";"A"
"2020-02";"115.19";"A"
"2020-01";"123.49";"A"
"2019-12";"156.5";"A"
"2019-11";"115.65";"A"
"2019-10";"133.88";"A"
"2019-09";"116.74";"A"
"2019-08";"124.15";"A"
"2019-07";"116.03";"A"
"2019-06";"121.98";"A"
"2019-05";"122.52";"A"
"2019-04";"121.85";"A"
"2019-03";"118.41";"A"
"2019-02";"112.53";"A"
"2019-01";"115.97";"A"
"2018-12";"144.19";"A"
"2018-11";"114.21";"A"
"2018-10";"124.47";"A"
"2018-09";"107.26";"A"
"2018-08";"119.87";"A"
"2018-07";"104.11";"A"
"2018-06";"123.5";"A"
"2018-05";"112.12";"A"
"2018-04";"111.74";"A"
"2018-03";"113.7";"A"
"2018-02";"105.17";"A"
"2018-01";"112.64";"A"
"2017-12";"135.06";"A"
"2017-11";"108.62";"A"
"2017-10";"113.44";"A"
"2017-09";"105.25";"A"
"2017-08";"112.03";"A"
"2017-07";"96.13";"A"
"2017-06";"118.51";"A"
"2017-05";"112.16";"A"
"2017-04";"100.03";"A"
"2017-03";"116.63";"A"
"2017-02";"100.69";"A"
"2017-01";"111.0";"A"
"2016-12";"131.52";"A"
"2016-11";"98.99";"A"
"2016-10";"101.72";"A"
"2016-09";"103.78";"A"
"2016-08";"105.43";"A"
"2016-07";"88.65";"A"
"2016-06";"111.85";"A"
"2016-05";"105.14";"A"
"2016-04";"102.5";"A"
"2016-03";"102.49";"A"
"2016-02";"100.38";"A"
"2016-01";"97.72";"A"
"2015-12";"129.94";"A"
"2015-11";"96.67";"A"
"2015-10";"103.66";"A"
"2015-09";"98.94";"A"
"2015-08";"98.02";"A"
"2015-07";"92.37";"A"
"2015-06";"108.68";"A"
"2015-05";"92.43";"A"
"2015-04";"97.61";"A"
"2015-03";"99.31";"A"
"2015-02";"89.8";"A"
"2015-01";"92.56";"A"
"2014-12";"119.26";"A"
"2014-11";"86.38";"A"
"2014-10";"98.13";"A"
"2014-09";"92.82";"A"
"2014-08";"96.7";"A"
"2014-07";"88.02";"A"
"2014-06";"99.45";"A"
"2014-05";"94.75";"A"
"2014-04";"95.65";"A"
"2014-03";"90.27";"A"
"2014-02";"93.66";"A"
"2014-01";"93.18";"A"
"2013-12";"117.73";"A"
"2013-11";"87.83";"A"
"2013-10";"99.06";"A"
"2013-09";"89.98";"A"
"2013-08";"92.28";"A"
"2013-07";"89.9";"A"
"2013-06";"96.42";"A"
"2013-05";"94.6";"A"
"2013-04";"94.68";"A"
"2013-03";"89.42";"A"
"2013-02";"86.33";"A"
"2013-01";"92.51";"A"
"2012-12";"105.29";"A"
"2012-11";"87.75";"A"
"2012-10";"95.79";"A"
"2012-09";"83.49";"A"
"2012-08";"92.65";"A"
"2012-07";"90.8";"A"
"2012-06";"108.99";"A"
"2012-05";"97.16";"A"
"2012-04";"91.94";"A"
"2012-03";"92.9";"A"
"2012-02";"87.56";"A"
"2012-01";"112.32";"A"
"2011-12";"127.22";"A"
"2011-11";"90.41";"A"
"2011-10";"89.96";"A"
"2011-09";"94.08";"A"
"2011-08";"93.3";"A"
"2011-07";"88.35";"A"
"2011-06";"100.21";"A"
"2011-05";"106.88";"A"
"2011-04";"89.04";"A"
"2011-03";"94.71";"A"
"2011-02";"81.34";"A"
"2011-01";"88.45";"A"
"2010-12";"115.26";"A"
"2010-11";"85.89";"A"
"2010-10";"87.51";"A"
"2010-09";"88.23";"A"
"2010-08";"85.49";"A"
"2010-07";"82.53";"A"
"2010-06";"95.72";"A"
"2010-05";"87.35";"A"
"2010-04";"85.17";"A"
"2010-03";"88.94";"A"
"2010-02";"79.3";"A"
"2010-01";"82.46";"A"
"2009-12";"101.3";"A"
"2009-11";"78.39";"A"
"2009-10";"82.85";"A"
"2009-09";"80.93";"A"
"2009-08";"77.31";"A"
"2009-07";"75.88";"A"
"2009-06";"85.05";"A"
"2009-05";"77.65";"A"
"2009-04";"80.39";"A"
"2009-03";"80.3";"A"
"2009-02";"74.37";"A"
"2009-01";"77.36";"A"
"2008-12";"95.95";"A"
"2008-11";"74.25";"A"
"2008-10";"87.1";"A"
"2008-09";"84.44";"A"
"2008-08";"78.91";"A"
"2008-07";"82.01";"A"
"2008-06";"90.86";"A"
"2008-05";"84.41";"A"
"2008-04";"89.79";"A"
"2008-03";"82.08";"A"
"2008-02";"82.29";"A"
"2008-01";"86.16";"A"
"2007-12";"95.9";"A"
"2007-11";"80.66";"A"
"2007-10";"89.25";"A"
"2007-09";"80.76";"A"
"2007-08";"82.87";"A"
"2007-07";"81.36";"A"
"2007-06";"90.55";"A"
"2007-05";"85.35";"A"
"2007-04";"80.39";"A"
"2007-03";"83.51";"A"
"2007-02";"76.81";"A"
"2007-01";"81.61";"A"
"2006-12";"95.26";"A"
"2006-11";"76.87";"A"
"2006-10";"82.95";"A"
"2006-09";"77.89";"A"
"2006-08";"79.16";"A"
"2006-07";"72.92";"A"
"2006-06";"87.14";"A"
"2006-05";"83.92";"A"
"2006-04";"73.91";"A"
"2006-03";"81.47";"A"
"2006-02";"71.55";"A"
"2006-01";"80.24";"A"
"2005-12";"94.65";"A"
"2005-11";"74.6";"A"
"2005-10";"74.25";"A"
"2005-09";"77.24";"A"
"2005-08";"74.64";"A"
"2005-07";"68.98";"A"
"2005-06";"83.39";"A"
"2005-05";"78.55";"A"
"2005-04";"74.61";"A"
"2005-03";"72.8";"A"
"2005-02";"68.95";"A"
"2005-01";"73.77";"A"
"2004-12";"86.28";"A"
"2004-11";"68.58";"A"
"2004-10";"71.57";"A"
"2004-09";"73.54";"A"
"2004-08";"69.56";"A"
"2004-07";"69.11";"A"
"2004-06";"79.84";"A"
"2004-05";"72.55";"A"
"2004-04";"72.05";"A"
"2004-03";"71.47";"A"
"2004-02";"66.76";"A"
"2004-01";"69.15";"A"
"2003-12";"82.52";"A"
"2003-11";"64.25";"A"
"2003-10";"71.09";"A"
"2003-09";"67.44";"A"
"2003-08";"63.22";"A"
"2003-07";"65.25";"A"
"2003-06";"69.6";"A"
"2003-05";"69.12";"A"
"2003-04";"66.37";"A"
"2003-03";"64.04";"A"
"2003-02";"61.21";"A"
"2003-01";"65.46";"A"
"2002-12";"73.42";"A"
"2002-11";"60.44";"A"
"2002-10";"67.24";"A"
"2002-09";"61.27";"A"
"2002-08";"63.07";"A"
"2002-07";"63.25";"A"
"2002-06";"68.22";"A"
"2002-05";"66.28";"A"
"2002-04";"63.97";"A"
"2002-03";"62.07";"A"
"2002-02";"58.65";"A"
"2002-01";"60.72";"A"
"2001-12";"69.85";"A"
"2001-11";"60.58";"A"
"2001-10";"65.2";"A"
"2001-09";"58.53";"A"
"2001-08";"61.3";"A"
"2001-07";"58.07";"A"
"2001-06";"66.56";"A"
"2001-05";"63.94";"A"
"2001-04";"57.71";"A"
"2001-03";"60.75";"A"
"2001-02";"55.77";"A"
"2001-01";"59.07";"A"
"2000-12";"66.4";"A"
"2000-11";"57.5";"A"
"2000-10";"58.65";"A"
"2000-09";"56.57";"A"
"2000-08";"56.2";"A"
"2000-07";"51.93";"A"
"2000-06";"59.47";"A"
"2000-05";"61.99";"A"
"2000-04";"51.87";"A"
"2000-03";"57.25";"A"
"2000-02";"52.04";"A"
"2000-01";"54.12";"A"
"1999-12";"64.22";"A"
"1999-11";"51.38";"A"
"1999-10";"52.7";"A"
"1999-09";"54.01";"A"
"1999-08";"53.43";"A"
"1999-07";"51.53";"A"
"1999-06";"59.39";"A"
"1999-05";"53.46";"A"
"1999-04";"51.79";"A"
"1999-03";"53.19";"A"
"1999-02";"47.42";"A"
"1999-01";"48.36";"A"
